company_name,ticker,revenue,personnel_cost,employee_count,sales_staff_count,cost_per_sales_person,sales_cost_ratio,ir_pdf_url,segment_revenue_notes,crawl_date,notes
テクノプロHD,6028,238966,15199,30649,719,21.14,0.0636,https://www.technoproholdings.com/ir/pdf/2025-49.pdf,アウトソーシング:24508百万円 | アウトソーシング:2973百万円 | アウトソーシング:188068百万円 | アウトソーシング:25565百万円,2026-07-03,連結人件費(販管費内訳); 全社(共通)を営業/管理部門とみなす; 全社(共通)に販管費人件費を帰属
アルプス技研,4641,52649,4364,6265,501,0.7,0.0066,https://www.alpsgiken.co.jp/ir/library/pdf/report/ir20260325.pdf,アウトソーシング:5901百万円 | アウトソーシング:4909百万円 | アウトソーシング:36754百万円 | アウトソーシング:47925百万円,2026-07-03,販管費6715百万円の65%で人件費推計; 明示記載なし:連結従業員の8%で推計; 営業人件費=連結人件費×(営業管理部門人数/全従業員)
夢テクノロジー,2458,,,684,12,,,https://f.irbank.net/pdf/E05520/ir/S1003P0F.pdf,アウトソーシング:3183百万円 | ソリューション:655650百万円 | 受託:2705百万円 | 受託:2705百万円,2026-07-03,2019年に夢真ビーネックスGへ吸収合併。単独上場廃止のため最新有価証券報告書取得不可（irbank 403）。取得PDFは2014年提出の古い報告書
富士ソフト,9749,317482,44554,19689,1575,2.26,0.0112,https://www.fsi.co.jp/ir/library/docs/securities_report/55yuuka.pdf,アウトソーシング:13230百万円,2026-07-03,従業員給与・賞与(百万円); 明示記載なし:連結従業員の8%で推計; 営業人件費=連結人件費×(営業管理部門人数/全従業員)
TIS,3626,571687,59252,21765,1741,2.72,0.0083,https://www.tisi.jp/documents/jp/ir/finance/securities_report/report_2025_2.pdf,ソリューション:7264百万円 | ソリューション:172675百万円 | ソリューション:171983百万円 | ソリューション:170437百万円,2026-07-03,販管費91158百万円の65%で人件費推計; 明示記載なし:連結従業員の8%で推計; 営業人件費=連結人件費×(営業管理部門人数/全従業員)
SCSK,9719,780326,83797,21015,1681,3.99,0.0086,https://www.scsk.jp/ir/library/valuable/pdf/scsk/yuho202603_4Q.pdf,ソリューション:56051百万円 | ソリューション:61332百万円 | ソリューション:64197百万円 | ソリューション:63381百万円,2026-07-03,販管費128919百万円の65%で人件費推計; 明示記載なし:連結従業員の8%で推計; 営業人件費=連結人件費×(営業管理部門人数/全従業員)
