company_name,incentive_text,incentive_rate_pct,job_title,url,source_query,snippet,crawl_date
株式会社タクスル,クラウドソーシングTOP仕事を探すビジネス・マーケティング・企画の仕事・求人営業・広告・PRの仕事・求人セールス・営業支援の仕事・求人【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10% 【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10% セールス・営業支援の仕事の依頼 固定報酬制 自社SES事業における法人新規開拓営業を、業務委託（完全成果報酬）でお願いできる方を募集します。 成約したエンジニアが稼働している間は、継続的に粗利の10%をお支払いするストック型の報酬設計です。 ■ 報酬（完全成果報酬・継続支払型） 成約したエンジニアが稼働している期間中、毎月「粗利の10%」を継続的にお支払い 複数名の成約・長期継続案件ほど、月々の報酬が積み上がっていく設計 ＜報酬イメージ＞ 例1：粗利30万円／月のエンジニアを1名成約 → 毎月3万円 × 稼働継続月数 例2：粗利40万円 × 3名成約 → 毎月12万円の継続報酬 例3：1年間継続稼働した場合 → 1名あたり年間 粗利30万円×10%×12ヶ月＝36万円 ※ 着手金・固定報酬はありません。成果が出た分だけ、長く積み上がっていく報酬設計です。 ■ 報酬計算・支払いに関する補足 「粗利」＝クライアント請求額 − エンジニア原価（給与／外注費・直接経費）として算定します※インボイス制度を利用しているエンジニアはインボイスに関する金額を引いた額 エンジニアの契約が終了・交代した時点で、該当分の継続報酬も終了となります,10.0,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%のお仕事(セールス・営業支援) | 在宅ワーク・副業するなら【クラウドワークス】 [ID:13253690],https://crowdworks.jp/public/jobs/13253690,"""SES営業"" ""粗利"" ""%""",【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%のお仕事詳細です。 独立・フリーランスから副業、在宅ワーク、内職まであなたにぴったりの案件を探すことができます。,2026-07-02
株式会社の求人,歩合 粗利額のMAX80～50%を月単位で支払い。 - 業務委託・フリーランス 歩合 月給 22万円 〜 35万円,,ＳＥＳ 株式会社の求人 | ハローワークの求人を検索,https://www.hellowork.careers/%EF%BC%B3%EF%BC%A5%EF%BC%B3+%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E9%96%A2%E9%80%A3%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA,"""SES営業"" ""歩合"" ""粗利""",歩合 粗利額のMAX80～50%を月単位で支払い。 - 業務委託・フリーランス. 業務内容は、＜人材の発掘・確保⇒顧客との打合せ⇒提案活動⇒面談設定⇒商談の成約⇒契約関連の事務処理⇒稼働人材のサポート＞となりますが、経験や希望に応じて、業務範囲を限定することや支援・サポートを受けることも可能です。 不安な点は相談しながら進めることが可能です。 ... SES事業及び職業訓練校を運営している当社の総務人事部にて、下記のお仕事をお任せします。 こ... ★IT未経験歓迎！ 客先常駐を中心として、受託案件で上流工程から下流工程まで幅広く挑戦できる★. 現在は多数のエンジニアやプログラマーが在籍中です。 新たにSESとして一緒に働く仲間を大募集中！,2026-07-02
株式会社エムアイメイズ,"【SES営業】インセンティブに上限なし!『粗利の25%』を稼働中ずっと還元。月収100万円以上を目指すシニア営業。 株式会社エムアイメイズ 年俸2,400,000円～18,000,000円 株式会社エムアイメイズ 自社採用のアルバイト・バイト企業 ...",25.0,株式会社エムアイメイズ　自社採用のアルバイト・バイト企業情報｜【タウンワーク】でバイトやパートのお仕事探し,https://townwork.net/company/810108688,"""SES営業"" ""インセンティブ"" ""上限なし""","【SES営業】インセンティブに上限なし!『粗利の25%』を稼働中ずっと還元。月収100万円以上を目指すシニア営業。 株式会社エムアイメイズ 年俸2,400,000円～18,000,000円",2026-07-02
